code01,code02,code03,code04,code05,code06,code07,full_code,description,is_active,created_at
HR,ST,OP,16,MAE,xx,0,HR-ST-OP-16-MAE-xx-00,Standard,TRUE,2025-09-28
HR,ST,OP,16,MCC,xx,0,HR-ST-OP-16-MCC-xx-00,Standard,TRUE,2025-09-29
HR,ST,OP,16,MAA,xx,0,HR-ST-OP-16-MAA-xx-00,Standard,TRUE,2025-09-30
HR,ST,OP,20,MAE,xx,0,HR-ST-OP-20-MAE-xx-00,Standard,TRUE,2025-10-01
HR,ST,OP,20,MCC,xx,0,HR-ST-OP-20-MCC-xx-00,Standard,TRUE,2025-10-02
HR,ST,OP,20,MAA,xx,0,HR-ST-OP-20-MAA-xx-00,Standard,TRUE,2025-10-03
HR,ST,OP,25,MAE,xx,0,HR-ST-OP-25-MAE-xx-00,Standard,TRUE,2025-10-04
HR,ST,OP,25,MCC,xx,0,HR-ST-OP-25-MCC-xx-00,Standard,TRUE,2025-10-05
HR,ST,OP,25,MAA,xx,0,HR-ST-OP-25-MAA-xx-00,Standard,TRUE,2025-10-06
HR,ST,OP,35,MAE,xx,0,HR-ST-OP-35-MAE-xx-00,Standard,TRUE,2025-10-07
HR,ST,OP,35,MCC,xx,0,HR-ST-OP-35-MCC-xx-00,Standard,TRUE,2025-10-08
HR,ST,OP,35,MAA,xx,0,HR-ST-OP-35-MAA-xx-00,Standard,TRUE,2025-10-09
HR,ST,OP,45,MAE,xx,0,HR-ST-OP-45-MAE-xx-00,Standard,TRUE,2025-10-10
HR,ST,OP,45,MCC,xx,0,HR-ST-OP-45-MCC-xx-00,Standard,TRUE,2025-10-11
HR,ST,OP,45,MAA,xx,0,HR-ST-OP-45-MAA-xx-00,Standard,TRUE,2025-10-12
HR,SO,OP,20,MAE,xx,0,HR-SO-OP-20-MAE-xx-00,Single Open Nozzle ( Normal Type),TRUE,2025-10-13
HR,SO,OP,20,MCC,xx,0,HR-SO-OP-20-MCC-xx-00,Single Open Nozzle ( Normal Type),TRUE,2025-10-14
HR,SO,OP,20,MAA,xx,0,HR-SO-OP-20-MAA-xx-00,Single Open Nozzle ( Normal Type),TRUE,2025-10-15
HR,SO,OP,25,MAE,xx,0,HR-SO-OP-25-MAE-xx-00,Single Open Nozzle ( Normal Type),TRUE,2025-10-16
