category,code01,code02,code03,code04,code05,code06,code07,description,is_active
HR,HRS,YMO,ST,20,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,ST,20,MAE,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,ST,25,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,ST,25,MAE,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,ST,35,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,ST,35,MAE,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,ST,45,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,ST,45,MAE,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RS,24,HOC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RS,24,SOL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RS,24,OL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RS,32,HOC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RS,32,SOL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RS,32,OL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RS,42,HOC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RS,42,SOL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RS,42,OL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RL,24,HOC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RL,24,SOL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RL,24,OL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RL,32,HOC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RL,32,SOL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RL,32,OL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RL,42,HOC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RL,42,SOL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YSO,RL,42,OL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,CP,12,CC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,CP,12,CL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,CP,15,CC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,CP,15,CL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,CP,18,CC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,CP,18,CL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,CP,22,CC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMO,CP,22,CL,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,20,MAE,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,20,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,20,MAA,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,25,MAE,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,25,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,25,MAA,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,35,MAE,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,35,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,35,MAA,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,45,MAE,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,45,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,ST,45,MAA,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,12,SCT,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,12,SCS,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,12,VLT,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,12,VLS,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,15,SCT,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,15,SCS,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,15,VLT,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,15,VLS,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,18,SCT,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,18,SCS,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,18,VLT,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,18,VLS,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,22,SCT,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,22,SCS,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,22,VLT,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,CP,22,VLS,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,PET,25,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,PET,32,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,PET,35,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,SE,15,MAA,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,SE,15,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,SE,18,MAA,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,SE,18,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,SE,25,MAA,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,YMV,SE,25,MCC,xx,0,HOT RUNNER SYSTEM,TRUE
HR,HRS,CVS,85,24,MAE,xx,0,HOT RUNNER SYSTEM,TRUE
